colour_name,hex,alias
Ag Green,#208e06,Ag Gr
CNH Black II,#1e1e1e,CNH Blk
Cab Black,#1e1e1e,Cab Blk
Cascade Black,#1e1e1e,Csc Blk
Chassis Black,#1e1e1e,Chs Blk
Grain Black,#1e1e1e,Gr Blk
Gray Primer,#1e1e1e,Gr Prim
HT Fed Blue 18-4029,#1e1e1e,Fed Blu
HT Pratt Blue,#1e1e1e,Prt Blu
HT Reading Truck White,#fcfff0,Rd Wh
Ind. Charcoal,#8d9696,Ind Chrcl
Ind. Yellow,#eac800,Ind Ylw
JD Green,#208e06,JD Gr
JD Med. Gloss Blk,#1e1e1e,Md Gls Blk
JD Medium Gloss Black,#1e1e1e,Md Gls Blk
Low GLoss Black,#1e1e1e,Lo Gls Blk
MCD Raven Black,#1e1e1e,Rvn Blk
MCD Tank Blue,#1e1e1e,Tnk Blu
Mack Bold Black,#1e1e1e,Mck Blk
RAL 2004 HAA,#1e1e1e,RAL 2004
RAL 3011 HAA,#1e1e1e,RAL 3011
RAL 5002 HAA,#1e1e1e,RAL 5002
Racerunner Green,#d4ff33,RR Gr
Raven Black,#1e1e1e,Rvn Blk
Silver Texture Interpon 800,#b2b2b2,Sil Tex Intr
Truck Black Interpon 200,#1e1e1e,Trk Blk Intr
